Route,Minutes Operational,Frequency,Trips
10,1140,8.75,130
100,1110,7.75,143
100A,796,12.75,62
101,1125,7.75,145
102,1094,10.5,104
103,1110,9.25,120
105,1095,8.75,125
105B,61,3.5,17
106,1110,8,139
106A,148,3.25,46
107,919,10.5,88
107M,250,12.25,20
109,1110,9,123
109A,147,10.75,14
10e,728,2.5,291
11,1079,15,72
110,1110,9.5,117
111,1080,9.75,111
112,1125,10.5,107
112A,31,3.75,8
113,1192,13,92
113A,809,4,202
115,682,23,30
116,1095,9.75,112
117,1095,12.75,86
117A,24,3.25,7
117B,99,0,0
118,1109,8.75,127
118A,98,3.5,28
118B,101,7.5,13
119,1139,16.5,69
12,1110,9.5,117
120,1095,11.75,93
121,1095,10,110
122,1084,12.25,88
123,1095,12,91
123M,1133,11.5,99
124,1115,6,186
125,1085,11,99
125A,62,1.75,35
127,1108,11.25,98
127A,63,4.75,13
128,764,3.75,204
129,1095,12.75,86
12e,1074,22.5,48
13,1110,10,111
130,1110,10.5,106
130A,597,5,119
131,1125,8.75,129
131A,92,5.25,18
131M,804,28.25,28
132,1110,10.75,103
133,1110,9,123
134,1094,10.75,102
135,1110,10.5,106
135A,72,3.5,21
136,1095,11,100
137,1078,15,72
137A,68,3.75,18
138,1080,8.5,127
138A,0,3.25,0
138B,161,9,18
139,1110,10.25,108
139M,1074,11,98
13A,206,5.25,39
14,1110,10,111
140,1079,14,77
141,1080,12.75,85
142,1123,7.75,145
142A,98,0,0
143,1115,9.75,114
143M,1208,13.75,88
145,1110,8,139
145A,130,5.25,25
147,1110,7,159
147A,245,8,31
147e,1080,20,54
14A,0,8,0
14e,738,3,246
15,1099,6.75,163
150,1079,12.75,85
151,1095,8.5,129
151e,772,3.75,206
153,1120,11,102
154,1140,6.75,169
154A,146,5.5,27
154B,177,2,89
155,1103,12,92
156,1125,11,102
157,1130,8.5,133
158,1094,11.75,93
158A,552,6,92
159,1110,7.25,153
159A,701,6.75,104
159B,115,0.75,153
15A,192,29.75,6
16,1110,8.75,127
160,1110,14,79
160A,873,14.25,61
161,1094,6.75,162
162,927,7,132
162M,345,12.75,27
163,1115,10.5,106
163A,52,4,13
165,1120,10,112
166,1110,9.5,117
167,1110,11.75,94
167e,1077,27.5,39
168,1109,6.75,164
169,1110,5.75,193
169A,62,4.25,15
169B,53,8.25,6
17,1190,9.75,122
170,1255,13.75,91
170A,1080,17.5,62
170X,1115,5.25,212
171,1115,10.25,109
172,1110,7,159
173,1110,10.25,108
173A,86,3.75,23
174,1110,9.5,117
174e,817,3.25,251
175,1080,13.25,82
176,1110,7.75,143
177,215,9.25,23
178,1110,10.25,108
178A,200,3.5,57
179,1124,4,281
179A,776,1.5,517
17A,1089,11.5,95
18,1135,12.5,91
180,1120,6.75,166
180A,337,8.5,40
181,1185,6.25,190
181M,118,1.5,79
182,1050,8,131
182M,875,6.5,135
183,1080,8,135
183B,108,1.5,72
184,1097,6.25,176
185,1095,11.5,95
186,1085,11.75,92
187,1120,7,160
188,1110,8,139
188e,85,3.75,23
188R,0,30.5,0
189,1095,7,156
189A,127,7,18
19,956,6.5,147
190,1100,4.75,232
190A,185,1,185
191,840,16.25,52
192,1095,6.75,162
193,1095,6.25,175
194,1095,10.5,104
195,1095,7.75,141
195A,859,5.75,149
196,1110,7.75,143
196A,292,0,0
196e,690,2,345
197,1115,9.75,114
198,1110,5.25,211
198A,205,4.25,48
